#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
153,"Ultraviolet","Evan Michael Brown",87,9A,25,2026-04-28,04:16,23,"","Above The Clouds",2019-04-12,14,63,97,9,0,10,-17,E Minor,4,5zaYPmW3fWxDcPrGQxPsZ2,SE5W31907703
154,"Raðljóst","Kolbrun Stiger",95,10B,8,2026-04-28,02:13,18,"","Raðljóst",2019-08-09,38,98,95,10,0,10,-21,D Major,4,0mVwwU0nxbi2C4rd35JlOr,SE5IB1900959
155,"Don't Forget Me","NIGHT TRAVELER",99,8B,55,2026-04-28,04:50,0,"","Don't Forget Me",2018-11-13,52,11,0,21,0,0,-8,C Major,4,1usXiHWnhVXjabG99EchaK,TCADX1899935
156,"Pantera en Libertad","Monica Naranjo",131,2A,91,2026-04-28,04:44,49,"pop latino","Palabra de Mujer",1997-04-15,60,27,0,28,0,10,-5,D#/E♭ Minor,4,6BEhC3j62wIpe9m7zPL4Tx,ES5119700302
157,"Strong","London Grammar",152,6B,40,2026-04-28,04:35,64,"","If You Wait (Deluxe Version)",2013-01-01,54,72,0,25,0,0,-12,A#/B♭ Major,4,6k1I9gABiasGZiWWAosAEb,GBCEN1300608
158,"Lovers Table","Kleerup,AlunaGeorge",112,1A,56,2026-04-28,03:53,16,"pop sueco, chillstep, ","Lovers Table",2019-09-18,66,3,3,25,0,10,-10,G#/A♭ Minor,4,1XgDH5V2RZJplqiXqKoQVc,NOV7L1902010
159,"To Where You Are","Josh Groban",125,7B,32,2026-04-28,03:53,56,"clásica para todos los gustos, navidad","Josh Groban",2001-11-20,29,65,0,11,0,10,-9,F Major,4,7go4n83IV0OO5Ztd1DlDh2,USWB10107377
160,"Everyday - Loungetronic Mix","Sun Jae",122,8A,78,2026-04-28,03:50,26,"","House Relax, Vol. 2 (Deep and Chill Session)",2017-07-05,63,0,75,8,0,60,-7,A Minor,4,7bJ9EgvRpFUqDp4pq9GCnH,ITAD81700048
161,"A Scent of Jasmine","Mystic Diversions",88,6A,47,2026-04-28,04:14,43,"lounge","Colours",2004-03-15,56,58,93,28,0,10,-11,G Minor,4,4v3iux7FwK2OEnFVYme4Jd,IT00D0400601
162,"Sax On The Beach","Party Pupils,MAX",116,4A,71,2026-04-28,03:57,0,"","Sax On The Beach",2018-06-01,75,5,0,91,0,40,-4,F Minor,4,5LjhywnE32xD6GJLfkbhfX,USDM31801802
163,"Mantra","Sunwell",173,1B,16,2026-04-28,03:45,35,"","Mantra",2019-02-24,11,92,84,3,0,0,-20,B Major,4,0mhg4wkvEjgVUu3P0vBlyA,SE4RG1906701
164,"Hurt and Virtue","Cradle Of Filth",90,4A,100,2026-04-28,05:23,20,"black metal, metal gótico, metal, metal sinfónico, death metal","Damnation And A Day",2003-00-00,20,0,17,4,10,10,-5,F Minor,4,3JQ1QwhKrHJHP76TGzhs7r,GBBBL0300012
165,"Somebody To Love Tonight","Bromance",122,9A,80,2026-04-28,04:18,0,"","Somebody To Love Tonight",2017-05-22,71,0,83,12,0,30,-9,E Minor,4,2jDL4ITBBYGjSqKF6QGfAj,SEYOK1737187
166,"Won't Let Go","Lucas Estrada,Alex Alexander,Blinded Hearts",116,4B,79,2026-04-28,02:39,20,"tropical house, afro house, slap house","Won't Let Go",2018-11-16,68,5,0,40,0,10,-5,G#/A♭ Major,4,4LQpxVBNvFI1QC9Q34G2sl,DK4YA1820601
